CLUSTER, ILLEGAL, ACCEPT
mn,1,1.0
vj,1,0.75
zgr,2,1.0
xts,2,0.25
ʒ,1,1.0
gv,1,1.0
xʒ,1,0.75
xf,1,0.5
ʒv,1,1.0
f,1,1.0
fts,2,0.25
fp,1,0.25
sxr,2,0.75
v[tʃ],1,1.0
krv,2,1.0
vw,1,1.0
gʑ,1,0.5
ʒw,1,1.0
tr,1,1.0
krt,2,1.0
ʃpʒ,2,0.5
zvr,2,1.0
lgn,2,1.0
vz,1,1.0
sts,2,0.5
xr,1,1.0
j,1,1.0
vɲ,1,1.0
ʒb,1,1.0
dʑ,1,0.75
ʃr,1,1.0
drv,2,1.0
w,1,1.0
ʒɲ,1,1.0
dr,1,1.0
dw,1,1.0
rdz,2,1.0
[ts]w,1,1.0
dɲ,1,1.0
pxl,2,1.0
sm,1,1.0
skr,2,1.0
v,1,1.0
zdʑ,2,0.75
zɲ,1,1.0
mɟ,1,1.0
trv,2,1.0
g,1,1.0
pɲ,1,1.0
sxl,2,1.0
dj,1,0.75
tʒ,1,0.5
zgʒ,2,0.75
lʒ,1,1.0
zw,1,1.0
dzb,2,1.0
pxw,2,1.0
bj,1,0.75
tk,1,1.0
zn,1,1.0
tv,1,1.0
n,1,1.0
pʃ[tʃ],2,1.0
ʑdʑbw,3,1.0
[ts],1,1.0
sʃ,1,1.0
lɲ,1,1.0
ps,1,1.0
kjj,2,0.25
k,1,1.0
rʒ,1,1.0
tp,1,1.0
vzg,2,1.0
skw,2,1.0
[dʒ],1,1.0
vsx,2,1.0
[tʃ][ts],1,0.75
vzv,2,1.0
pw[ts],2,0.75
ftɕ,2,0.0
tl,1,1.0
mʒ,1,1.0
pr,1,1.0
skl,2,1.0
vʑ,1,0.5
tʃk,2,1.0
ʃ[ts],1,1.0
tsn,2,0.5
vn,1,1.0
p,1,1.0
vst,2,1.0
gdʑ,2,0.75
vsk,2,1.0
pɕ,1,0.5
fk,1,0.75
gjj,2,0.0
vdʑ,2,0.75
dn,1,1.0
ɕ[ts],1,0.5
[tʃ]v,1,1.0
ʃpr,2,1.0
xl,1,1.0
mɲ,1,1.0
sp,1,1.0
ɟ,1,1.0
str,2,1.0
zgl,2,1.0
sɕ,1,0.75
zj,1,1.0
ʑr,1,1.0
gʒm,2,0.75
gz,1,1.0
ɲ,1,1.0
vm,1,1.0
zgɲ,2,1.0
[ts]x,1,0.25
[ts]n,1,1.0
rj,1,0.25
mkɲ,2,1.0
[tʃ]w,1,1.0
vt,1,1.0
ʃkv,2,1.0
fr,1,1.0
rv,1,1.0
dʒ,1,1.0
mgw,2,1.0
mw,1,1.0
tj,1,0.75
ʑ,1,0.75
ɕɲ,1,1.0
spl,2,1.0
tʒm,2,0.5
pt,1,1.0
dv,1,1.0
ɕ,1,1.0
db,1,1.0
vstr,2,1.0
sk,1,1.0
stʃ,2,0.75
t,1,1.0
vd,1,1.0
vʒ,1,0.75
zl,1,1.0
sr,1,1.0
xʃ,1,0.75
tɲ,1,1.0
pl,1,1.0
ɕr,1,1.0
xʒt,2,0.5
zdj,2,1.0
zʒ,1,1.0
ʃp,1,1.0
mx,1,1.0
ʃk,1,1.0
fʃ,1,0.75
ft,1,0.75
ʃn,1,1.0
zbr,2,1.0
vzr,2,1.0
kw,1,1.0
lj,1,0.5
zm,1,1.0
sxɲ,2,1.0
sl,1,1.0
zb,1,1.0
fɕ,1,0.0
ɕv,1,1.0
kv,1,1.0
stɕ,2,0.0
wg,1,1.0
xm,1,1.0
br,1,1.0
gʒ,1,1.0
l,1,1.0
gl,1,1.0
ʒm,1,1.0
tsm,2,0.5
vʃ,1,1.0
pj,1,0.75
x,1,1.0
pʒ,1,0.75
[ts]v,1,1.0
ss,1,1.0
gn,1,1.0
r,1,1.0
zvw,2,1.0
ʃkw,2,1.0
[ts]ʑ,1,0.0
kr,1,1.0
vkr,2,1.0
spʒ,2,0.5
m,1,1.0
xv,1,1.0
zbl,2,1.0
ʑdʑb,2,1.0
ml,1,1.0
sf,1,0.75
sv,1,1.0
ʃf,1,0.75
fs,1,0.75
gɲ,1,1.0
ʃ,1,1.0
zr,1,1.0
dʑv,2,1.0
vsp,2,1.0
lv,1,1.0
ks,1,1.0
d,1,1.0
lɕɲ,2,1.0
kn,1,1.0
gr,1,1.0
vstʒ,2,0.5
xʒ[ts],2,0.5
zv,1,1.0
vk,1,1.0
tx,1,1.0
xj,1,0.75
ʃt,1,1.0
tʃt,2,0.25
fl,1,1.0
[dʒ][dʒ],1,1.0
wz,1,1.0
vpw,2,1.0
dzv,2,1.0
smr,2,1.0
jm,1,0.5
ftʃ,2,0.25
[ts]l,1,1.0
gw,1,1.0
drʒ,2,1.0
vr,1,1.0
bw,1,1.0
px,1,1.0
fx,1,0.75
[tʃ],1,1.0
zgj,2,0.75
vb,1,1.0
ln,1,1.0
mj,1,0.75
brv,2,1.0
ɕf,1,0.5
vv,1,0.5
bl,1,1.0
ʃ[tʃ],1,1.0
sxn,2,1.0
xʒ[tʃ],2,0.5
zmr,2,1.0
tʃ,1,1.0
wʑ,1,0.5
zg,1,1.0
zʃ,1,1.0
kt,1,1.0
tʒ[ts],2,0.25
zdr,2,1.0
ʑl,1,1.0
drg,2,1.0
b,1,1.0
lgɲ,2,1.0
tm,1,1.0
kʒ,1,0.5
kɕ,1,0.5
stʒ,2,0.75
bz,1,1.0
skʒ,2,0.5
vg,1,1.0
z,1,1.0
spr,2,1.0
pn,1,1.0
gd,1,1.0
wb,1,1.0
ʃm,1,1.0
bʒ,1,0.75
ʃkl,2,1.0
kʃ,1,1.0
ɕm,1,1.0
dm,1,1.0
sw,1,1.0
stv,2,1.0
zz,1,1.0
tɕm,2,0.5
mkn,2,1.0
tw,1,1.0
ʃw,1,1.0
st,1,1.0
pstr,2,1.0
dl,1,1.0
pw,1,1.0
fj,1,0.75
mgl,2,1.0
[tʃ][tʃ],1,1.0
s[ts],1,1.0
[tʃ]k,1,1.0
ʑdʑbl,3,1.0
k[ts],1,1.0
kɲ,1,1.0
sx,1,1.0
vɕ,1,0.5
tn,1,1.0
x[ts],1,1.0
ktɕ,2,0.0
vp,1,1.0
kʃt,2,1.0
tsf,2,0.25
mr,1,1.0
ʃl,1,1.0
[ts]m,1,1.0
wʒ,1,1.0
bʑ,1,0.5
km,1,1.0
ʃ[tʃ]v,2,1.0
xw,1,1.0
ʒn,1,1.0
[ts]z,1,1.0
zd,1,1.0
vl,1,1.0
stw,2,1.0
mʃ,1,1.0
ɕp,1,1.0
tf,1,0.75
ɕl,1,1.0
kf,1,0.75
gm,1,1.0
s,1,1.0
ʃv,1,1.0
rt,1,0.75
gʒb,2,0.5
kl,1,1.0
pʃ,1,1.0
sn,1,1.0
